05-01-2018 13:49:35.501 INFO  HtmlParser:18 - Start file c:\temp\storage\AP2000-RDDE0016\26-12-2017_15-14-08\Пробная010.html ----------------------------------
05-01-2018 13:49:35.513 INFO  HtmlParser:34 - Windows
05-01-2018 13:49:35.513 INFO  HtmlParser:34 - XP
05-01-2018 13:49:35.513 INFO  HtmlParser:34 - Пробная
05-01-2018 13:49:35.513 INFO  HtmlParser:34 - страница
05-01-2018 13:49:35.513 INFO  HtmlParser:34 - печати
05-01-2018 13:49:35.513 INFO  HtmlParser:34 - Поздравляем!
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - Если
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - эти
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - сведения
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - удается
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - прочитать,
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - драйвер
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - принтера
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - MS
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - Publisher
05-01-2018 13:49:35.514 INFO  HtmlParser:34 - Color
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - Printer
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - правильно
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - установлен
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - на
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - AP2000-RDDE0016.
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - Настройка
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - драйвера
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - принтера
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - и
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - порта.
05-01-2018 13:49:35.515 INFO  HtmlParser:34 - Напечатано:
05-01-2018 13:49:35.516 INFO  HtmlParser:34 - 2:14:28
05-01-2018 13:49:35.516 INFO  HtmlParser:34 - AM
05-01-2018 13:49:35.516 INFO  HtmlParser:34 - 12/27/2017
05-01-2018 13:49:35.516 INFO  HtmlParser:34 - Имя
05-01-2018 13:49:35.516 INFO  HtmlParser:34 - компьютера:
05-01-2018 13:49:35.516 INFO  HtmlParser:34 - AP2000-RDDE0016
05-01-2018 13:49:35.516 INFO  HtmlParser:34 - Имя
05-01-2018 13:49:35.517 INFO  HtmlParser:34 - принтера:
05-01-2018 13:49:35.517 INFO  HtmlParser:34 - MISPrinter
05-01-2018 13:49:35.517 INFO  HtmlParser:34 - Модель
05-01-2018 13:49:35.517 INFO  HtmlParser:34 - принтера:
05-01-2018 13:49:35.517 INFO  HtmlParser:34 - MS
05-01-2018 13:49:35.517 INFO  HtmlParser:34 - Publisher
05-01-2018 13:49:35.517 INFO  HtmlParser:34 - Color
05-01-2018 13:49:35.517 INFO  HtmlParser:34 - Printer
05-01-2018 13:49:35.517 INFO  HtmlParser:34 - Поддержка
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - цвета:
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - Да
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - Порт(ы):
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - MIS
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - Формат
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - данных:
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - RAW
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - Общий
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - ресурс:
05-01-2018 13:49:35.518 INFO  HtmlParser:34 - Размещение:
05-01-2018 13:49:35.519 INFO  HtmlParser:34 - Комментарий:
05-01-2018 13:49:35.519 INFO  HtmlParser:34 - Драйвер:
05-01-2018 13:49:35.519 INFO  HtmlParser:34 - PSCRIPT5.DLL
05-01-2018 13:49:35.519 INFO  HtmlParser:34 - Файл
